
***2006-06-23 16:30:23***

读取文件时间：[2006-06-23 16:30:23]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\aeroset.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\IMMAGE.TXT]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\vitek32.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\hmx.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\phox.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\sta_r.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\elx800.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\cx7.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\diasys.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\poch-100i.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\sf3000.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\h100.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\mi921d.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\cd3700.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\celltace.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\ario.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\us2020.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\onyx.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\tianhai.txt]
***2006-06-23 16:30:23***文本路径：[f:\Laboman.mdb]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\xe2100.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\cl_7200.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\a60.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\a70.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\walk.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\1.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\coulter_jr.txt]
***2006-06-23 16:30:23***文本路径：[f:\ave.mdf1]
***2006-06-23 16:30:23***文本路径：[e:\advance\comm\lq\mk2.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\1.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\clintek.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\kx21.txt]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\abxpentra120.txt]
***2006-06-23 16:30:23***文本路径：[e:\advance\comm\lq\biorad550.txt]
***2006-06-23 16:30:23***文本路径：[@d:\@*.66N@@]
***2006-06-23 16:30:23***文本路径：[E:\COMM\检验联机通讯\PBL\lq\hlcg7.txt]
***2006-06-26 14:16:26***

读取文件时间：[2006-06-26 14:16:26]
***2006-06-26 14:16:26***文本路径：[E:\COMM\检验联机通讯\PBL\lq\aeroset.txt]
***2006-06-26 14:16:26***文本路径：[E:\COMM\检验联机通讯\PBL\lq\IMMAGE.TXT]
***2006-06-26 14:16:26***文本路径：[E:\COMM\检验联机通讯\PBL\lq\vitek32.txt]
***2006-06-26 14:16:26***文本路径：[E:\COMM\检验联机通讯\PBL\lq\hmx.txt]
***2006-06-26 14:16:26***文本路径：[E:\COMM\检验联机通讯\PBL\lq\phox.txt]
***2006-06-26 14:16:26***文本路径：[E:\COMM\检验联机通讯\PBL\lq\sta_r.txt]
